	English	Spanish	Chinese
frequency	-0.0659530703750892	-0.0536993585189553	-0.1227473147035993
range	-0.6271100616959162	-0.8111121171282897	-0.5793009503283726
sort_gini	-0.5746359708898247	-0.7715587448477178	-0.5052088186634726
juilland_d	-0.5186668464061381	-0.7406167763119331	-0.5142440448484717
gries_dp	-0.5135681293894981	-0.7437717955897596	-0.4996273491154372
rosengren_s	-0.5524749361820742	-0.7690521287427939	-0.5467433957690216
s2	-0.6122404711720798	-0.7995519079608403	-0.5500077638907638
carrol_d2	-0.5593596544182345	-0.7689857608289455	-0.5504557419806885
lyne_d3	-0.3200211469871187	-0.557331816429434	-0.3781189080378171
range_channels	-0.2369342563788374	-0.3198404854843205	-0.276909681571499
sort_gini_channels	-0.177250352906242	-0.2262593421675923	-0.2171217054513265
juilland_d_channels	-0.576004151910676	-0.7846037717294213	-0.5198391870868361
gries_dp_channels	-0.4000894621803588	-0.5991986709008077	-0.4661664886241367
rosengren_s_channels	-0.329043273703794	-0.4977692794573432	-0.4595839869224796
s2_channels	-0.2019993646701879	-0.2639569481141332	-0.2390389890941601
carrol_d2_channels	-0.6155675739548903	-0.7984039088082311	-0.5147107390216704
lyne_d3_channels	-0.3300774487950123	-0.5698085523366428	-0.3891866904974694
range_videos	-0.2077388922067003	-0.2404111685830369	-0.2403760403503088
sort_gini_videos	-0.1648297442316288	-0.1958769679651792	-0.2218965016665044
juilland_d_videos	-0.5725022918257618	-0.7759195874770435	-0.5319498330666564
gries_dp_videos	-0.3055449195267806	-0.3564857849615606	-0.3417482813948739
rosengren_s_videos	-0.2545801595511556	-0.2949500495982812	-0.2901380120277991
s2_videos	-0.1840598939598216	-0.2170885987346881	-0.2292452219891911
carrol_d2_videos	-0.6210354706544566	-0.8088551913567336	-0.553132787432381
lyne_d3_videos	-0.3279646012935241	-0.5663252375365582	-0.3782413695343076
log_frequency	-0.6274058222494792	-0.810943796129835	-0.5746256436511887
log_range	-0.5710650738636647	-0.7653171604285688	-0.5947745271856169
log_sort_gini	-0.5670515203524924	-0.7609653547872246	-0.5498546600819646
log_juilland_d	-0.4575670512925245	-0.6876819248954831	-0.497338059220715
log_gries_dp	-0.4471920282177915	-0.6712483512162319	-0.4809066667900711
log_rosengren_s	-0.4754564501287846	-0.6922626907476339	-0.5166266983058903
log_s2	-0.5743113010506367	-0.7669406211088469	-0.5826720654051044
log_carrol_d2	-0.4837275178002341	-0.7067606196573833	-0.5283706767500789
log_lyne_d3	-0.2744530321959721	-0.5171737770496583	-0.3192652965249826
log_range_channels	-0.6365409413049714	-0.8226032546444599	-0.5799009566395924
log_sort_gini_channels	-0.6169442508923099	-0.7986363368994763	-0.505685393626682
log_juilland_d_channels	-0.3739279866252272	-0.6311407538570384	-0.4837549814992502
log_gries_dp_channels	-0.6074867230677975	-0.7727495020459704	-0.4255263368238676
log_rosengren_s_channels	-0.6088766249566354	-0.7788930986798374	-0.4404563861737654
log_s2_channels	-0.627342096736352	-0.8132574126425252	-0.5415438147068218
log_carrol_d2_channels	-0.4324417679103041	-0.6622721524534729	-0.5183301173618808
log_lyne_d3_channels	-0.2548250642239392	-0.5010308520133184	-0.297226782081896
log_range_videos	-0.6349905453662693	-0.819218410996718	-0.5815647831572265
log_sort_gini_videos	-0.6216520000314382	-0.8082243376771276	-0.5511043753682044
log_juilland_d_videos	-0.3614017684324298	-0.6090135648264735	-0.4113809893937482
log_gries_dp_videos	-0.6260889799786795	-0.8044969352200039	-0.5492558067163826
log_rosengren_s_videos	-0.619785104419542	-0.8037227944145705	-0.5417067244635823
log_s2_videos	-0.6291322023738626	-0.8155107926654658	-0.5688071396547448
log_carrol_d2_videos	-0.4210912948132235	-0.6421396904162623	-0.4618939489031451
log_lyne_d3_videos	-0.2541868489412032	-0.4998089763253298	-0.2928681740259285
